data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR
20170223;0,1167;4,084;3,1416;0,5264;3,1077;2,942;2,889;4,3076;1,3987;4,0411;5,095;0,1517;3,6076;0,1594;0,5795;3,7279;0,4888;0,4543;0,5795;0,9535;2,2025;1,1418;1,102;0,6355;0,0813;0,2049;0,3148;1,333;0,918;0,0705;3,0591;6,1153;0,3587;0,5939;5,5272
20170224;0,1165;4,0681;3,1341;0,5243;3,1066;2,9404;2,8991;4,3102;1,3968;4,0477;5,1011;0,1507;3,6168;0,1595;0,5798;3,7611;0,4885;0,4534;0,5801;0,9541;2,2038;1,1386;1,0997;0,6342;0,0811;0,2064;0,3153;1,3289;0,9162;0,0703;3,052;6,109;0,3598;0,5921;5,5089
20170227;0,1169;4,0745;3,1291;0,525;3,1066;2,9335;2,8978;4,3135;1,4004;4,0474;5,0646;0,1506;3,6286;0,1597;0,5803;3,7854;0,4878;0,4516;0,5802;0,9558;2,2055;1,1348;1,1055;0,63;0,081;0,2051;0,3144;1,3098;0,918;0,0706;3,0539;6,1085;0,3592;0,5932;5,5092
20170228;0,1168;4,077;3,1283;0,5253;3,0938;2,9302;2,9107;4,3166;1,4028;4,0535;5,0617;0,1499;3,6272;0,1597;0,5807;3,8166;0,4865;0,4515;0,5805;0,9562;2,207;1,1288;1,1111;0,6305;0,0811;0,2045;0,3139;1,3111;0,9181;0,0703;3,0566;6,1085;0,3612;0,5933;5,5155
20170301;0,1166;4,0756;3,1245;0,5251;3,0593;2,9074;2,895;4,297;1,3965;4,0387;5,0437;0,15;3,5906;0,159;0,5781;3,823;0,485;0,4506;0,5789;0,9508;2,197;1,1222;1,118;0,6269;0,081;0,2038;0,3125;1,311;0,9168;0,0701;3,0509;6,1015;0,3564;0,5925;5,4899
20170302;0,1165;4,0765;3,1047;0,5251;3,0486;2,8945;2,889;4,2912;1,3925;4,0314;4,9999;0,1507;3,5702;0,1588;0,5773;3,811;0,4831;0,4503;0,5783;0,949;2,194;1,1046;1,1052;0,626;0,0809;0,2044;0,3114;1,3189;0,9163;0,0696;3,0518;6,1102;0,3561;0,5922;5,4937
20170303;0,1168;4,0955;3,0935;0,5275;3,0539;2,8779;2,8959;4,3078;1,3901;4,0413;5,0091;0,151;3,5857;0,1594;0,5795;3,8072;0,4829;0,4522;0,5808;0,9507;2,2026;1,1012;1,1091;0,6251;0,0813;0,2054;0,3121;1,2977;0,9196;0,0697;3,0609;6,1286;0,3539;0,5937;5,5187
20170306;0,116;4,0663;3,0908;0,5236;3,0371;2,8607;2,8833;4,31;1,3918;4,029;4,9844;0,1506;3,5762;0,1594;0,5798;3,8125;0,4816;0,4526;0,5811;0,9505;2,2036;1,0959;1,1021;0,6186;0,0808;0,2083;0,3132;1,3047;0,9139;0,0701;3,045;6,094;0,3521;0,5896;5,4928
20170307;0,1163;4,0803;3,0958;0,5256;3,0442;2,8477;2,891;4,3115;1,3928;4,021;4,9804;0,1514;3,5811;0,1595;0,58;3,782;0,4822;0,4529;0,5819;0,9508;2,2045;1,1063;1,1106;0,6168;0,0811;0,2083;0,3142;1,3003;0,9178;0,0702;3,0579;6,1221;0,3548;0,5914;5,4918
20170308;0,1158;4,0818;3,0891;0,5256;3,0391;2,8366;2,8878;4,3087;1,3898;4,0296;4,9651;0,1514;3,5806;0,1594;0,5796;3,7402;0,4821;0,4529;0,5815;0,9478;2,203;1,0986;1,1088;0,6195;0,081;0,2085;0,3137;1,3085;0,9164;0,0699;3,0576;6,1186;0,355;0,5907;5,4924
